item;descricao;barras;referencia;preco;precominimo;quantidadeEstoque;parceiro
10001;CADERNETA DE BOLSO;18572;18572;16.83;15.15;0;0
10004;TRATOR CAÇAMBA;7896838804186;417;51.69;46.52;0;0
10006;BUQUE MINI ROSAS BEAUTY OUTONO;7893979237279;16056-001;4.13;3.72;0;0
10007;ABC 72 PÇS EM MADEIRAS;7896640452667;5266.5;33;29.7;0;172
10009;KIT MANICURE BOLSA;;20174;19.75;17.78;0;0
20409;PICK UP POLICIA;7898179820443;406;59.75;53.77;0;38
10013;CARRO COM MECANISMO HATCHBACKS;7898486485151;3461;55;49.5;0;0
10018;JOGO DE BOLICHE DA BARBIE;7898125112387;238;64.9;58.41;0;1110
10019;PISCINA COM BONECA;7896838805527;552;79.2;71.28;0;0
10021;RETROESCAVADEIRA;7896838804124;412;20.79;18.71;0;0
10022;ABAJUR PARA LEITURA DANA P;7898280747387;738;76.89;69.2;0;0
10023;CAÇAMBA E CARREGADEIRA;7896838804056;405;27.39;24.65;0;0
10026;LIXEIRA 12 L INOX COM PEDAL;;LIX2348;130;117;0;5213
10027;CARRETA E RETROESCAVADEIRA;7896838803424;342;39.49;35.54;0;0
10028;ROSA TOQUE REAL AMARELA 68 CM;7893979844156;08010-004;40;36;0;12212
10029;TRATOR COM REBOQUE;7896838804100;410;38.83;34.95;0;0
10031;KIT PARA COZINHA 5 PÇS MY LOVELY;7891112244535;27899/082;377.7;339.93;0;5932
10034;ABAJUR PARA LEITURA FLEX COM BASE;7898280744195;419;150;135;0;4975
10038;CARRETA TRANSPORT;7896838803400;340;37.95;34.16;0;0
10043;TANQUE BOMBEIRO;7896838803523;352;21.99;19.79;0;0
10044;BARBIE ENCONTRO COM NAMORADO;746775269623;V8701;76.89;69.2;0;0
10045;LUMINARIA DE MESA VITTA;7898419473200;110030001;98.89;89;0;0
10046;ANDADOR DIDATICO 3 EM 1;7898179822348;908;189.9;170.91;0;38
10047;LUMINARIA DE MESA PRINCESAS;7898292026913;110280001;90.2;81.18;0;0
10048;CAÇAMBA TRANSPORT;7896838803318;331;17.49;15.74;0;0
18451;MINI MECHANIC;7898179821228;465;200;180;0;13287
20411;COPO TERMICO ONCINHA PINK;7898458092974;;49;44.1;0;0
10049;CAMINHAO DE FERRAMENTAS;7839180661717;7504-9;120;108;0;3237
10050;ABAJUR FADAS COM GAVETAS;7898419468091;110450035;143;128.7;0;0
10051;BARBIE TAFFY TRAVESSURAS COM CACHORRINHO;746775302382;BDH74;151.8;136.62;0;5217
10053;CONJUNTO 2 TAÇAS CERVEJA MELHOR COMPANHIA;;23810;55.5;49.95;0;0
10055;VASO DE METAL GARDEN 18 CM;7893979354105;25982-001;36.19;32.57;0;0
10057;ORQUIDEA CYMBIDIUM VERMELHO COM VASO PRETO 52 CM;7893979339607;25509-001;76.89;69.2;0;0
10058;PISCA PISCA 100 LAMPADAS LED VERDE;7890880207445;15497;20.57;18.51;0;0
10059;COMBUSTIVEL DUPLO;7896838803028;302;36.85;33.17;0;0
10061;NERF ROUGH CUT 2X4;5010994711986;A3844;188.8;169.92;0;4820
10062;MAQUINA DE COSTURA MINIATURA;7893220123023;15456;138.6;124.74;0;0
10063;ABELHA DIDÁTICA;7898179820566;845;70;63;0;13287
17951;ESCORREDOR DE LOUÇA AÇO INOX;7891116068137;61530/010;315.7;284.13;0;87
10068;BUQUE DE MINI ROSAS VERMELHO 29 CM;7893979237217;16055-008;5.39;4.85;0;0
10070;PORTA PAPEL LIVRO ONCINHA SUPER AMIGA;7899061053253;4159;19.69;17.72;0;5190
10073;ABRIDOR DE GARRAFA COM DEPOSITO;;513007;40;36;0;10542
10076;ABC ANIMADO;7891219017049;1704;50;45;2;10916
10077;KIT PARA BANHEIRO 3 PÇS;7899525607596;751;64.9;58.41;0;4340
10078;BUQUE DE MARGARIDA LAVANDA 2 TONS 32 CM;7893979337672;25402-005;3.52;3.17;0;0
10080;ROUPA BARBIE;887961154504;CMR78;22;19.8;0;5217
10081;ACQUA BRINK;7894298080003;8000;75.9;68.31;0;0
10082;LEGO A CASA DE CAMPO 3 EM 1;5702014971523;31009;156.86;141.17;0;0
10083;KITCHEN COMIDINHA;7896200706216;621;27.39;24.65;0;0
10084;ACTIVITY HOUSE CASINHA CRIATIVA;7898179821914;724;75;67.5;0;38
20412;CONJUNTO DE CHA CORUJAS;7898458100945;;109.5;98.55;0;0
10090;AÇUCAREIRO INOX;7891116000625;64400/500;100;90;0;87
10091;SKATE COM ACESSORIOS MAX STEEL;5019702005430;640.9;128.78;115.9;0;0
10096;AÇUCAREIRO - C/ COLHER 350 G ATINA SE;7896502802432;;88.8;79.92;0;194
10101;AÇUCAREIRO  VITÓRIA DEC. 0397;7891259579378;2003-5;50;45;0;0
10102;AÇUCAREIRO  ELIZABETH DEC 622;7891259318861;622;42.9;38.61;0;0
10103;LANCHA COM CONTROLE REMOTO;7898486480613;3013;359.5;323.55;0;5957
10104;ADAPTADOR INFANTIL P/ VASO SANITÁRIO TURMA MÔNICA;7896448161808;835;56.7;51.03;0;0
10105;COMBUSTIVEL TRANSPORT;7896838803011;301;21.89;19.7;0;0
10106;EU BRINCO DE CASINHA ESCORREDORZINHO;7896200706063;606;35.09;31.58;0;0
10107;MONSTER HIGH SKELITA AULA DE ARTE;746775299545;BDF14;108.44;97.6;0;4320
10109;ALBUM 100 FOTOS 10X15 CM LOVE;7893220166310;18487;47.3;42.57;0;0
10110;BUQUE DE CAMELIA ROSA CRAQUEADO;7893979331502;25243-002;13.2;11.88;0;0
10111;PISCA PISCA 20 LEDS ESTRELA;7890880209876;15742;20.85;18.77;0;0
10112;PORTA RETRATO 10 X 15 CM COURINO;7893220166327;18489;29.7;26.73;0;0
10114;ALBUM 96  FOTOS 10X15 CM BICICLETA;7893220166334;18490;35.2;31.68;0;0
10115;VASO COM BOCA PEQUENO PRETO;7897900829816;2981;88.8;79.92;0;0
10116;ALBUM 60 FOTOS 10X15 CM COURINO PRETO;7893220166426;18499;38.5;34.65;0;0
10117;TIGELA DE COMIDA PET;7898458087246;;27.5;24.75;0;0
10118;ALBUM BEBE 104 FOTOS 10X15;7893220166112;18467;53.9;48.51;0;0
