parceiro,nome,fantasia,cpfCnpj
1,NADIR PRESENTES E BRINQUEDOS LTDA,NADIR PRESENTES E BRINQUEDOS,78.766.680/0001-46
13,MULTIBRINK BRINDES E BRINQUEDOS LTDA.,MULTIBRINK BRINDES E BRINQUEDOS LTDA.,62.131.099/0001-18
16,GROW JOGOS E BRINQUEDOS LTDA,GROW JOGOS E BRINQUEDOS LTDA,43.422.278/0001-60
36,GERMER PORCELANAS FINAS S/A.,GERMER PORCELANAS FINAS S/A.,75.801.936/0001-10
38,CALESITA IND.E COM. DE BRINQUEDOS LTDA,CALESITA IND.E COM. DE BRINQUEDOS LTDA,00.202.187/0001-06
40,SOBRAL INVICTA S/A.,SOBRAL INVICTA S/A.,60.594.538/0009-50
54,OXFORD INDUSTRIA E COMERCIO S/A.,OXFORD INDUSTRIA E COMERCIO S/A.,12.390.523/0002-51
61,BRINOX METALURGICA S.A,BRINOX METALURGICA S.A,92.038.108/0005-15
76,MARTIPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA.,MARTIPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA.,73.445.454/0001-40
87,TRAMONTINA FARROUPILHA S/A INDUSTRIA METAIS,TRAMONTINA FARROUPILHA S/A INDUSTRIA METAIS,87.834.883/0001-13
102,CERAMICA ANA MARIA LTDA EPP,CERAMICA ANA MARIA LTDA EPP,55.188.858/0001-13
103,CRISTAIS MARANATHA LTDA EPP,CRISTAIS MARANATHA LTDA EPP,04.370.784/0001-09
130,TILIN BRINQUEDOS PLASTILINDO LTDA.,TILIN BRINQUEDOS PLASTILINDO LTDA.,62.596.911/0001-80
134,IND E COM DE PORCELANAS LU LTDA EPP,PORCELANAS LU LTDA.,00.874.427/0001-19
149,COTIPLAS IND.COM.ARTEFATOS PLASTICOS LTDA.,COTIPLAS IND.COM.ARTEFATOS PLASTICOS LTDA.,48.725.956/0001-87
151,MAGIC TOYS DO BRASIL - IND. E COM. LTDA.,MAGIC TOYS DO BRASIL - IND. E COM. LTDA.,74.638.651/0001-48
159,ELKA PLASTICOS LTDA,ELKA PLASTICOS,60.643.293/0001-57
170,ROMA BRINQUEDOS,ROMA BRINQUEDOS,51.332.203/0001-16
171,TOYSTER BRINQUEDOS LTDA.,TOYSTER BRINQUEDOS LTDA.,58.338.690/0001-73
172,XALINGO S/A. IND.COM.,XALINGO S/A. IND.COM.,95.425.534/0007-61
188,ALAMO INDUSTRIA E COMERCIO LTDA,ALAMO INDUSTRIA E COMERCIO LTDA,00.709.471/0001-73
194,COZA BRINOX METALURGICA,COZA BRINOX METALURGICA,92.038.108/0001-91
218,MILLENIUM UTILIDADES DOMESTICAS LTDA,MILLENIUM UTILIDADES DOMESTICAS LTDA,04.150.555/0013-04
220,METALZANELLA INOX,METALZANELLA INOX,88.330.816/0001-24
223,TERMOLAR S. A,TERMOLAR S. A,92.780.634/0001-22
228,SOPRANO ELETR. E HIDRAULICA LTDA,SOPRANO ELETR. E HIDRAULICA LTDA,88.634.977/0001-01
655,MANUFATURA DE BRINQUEDOS ESTRELA S/A,MANUFATURA DE BRINQUEDOS ESTRELA S/A,61.082.004/0005-84
